start_time,end_time,section,count,percentage
2018-09-01 10:00:00,2018-09-01 11:00:00,中心路(后海湾段),22,34.9%
2018-09-01 10:00:00,2018-09-01 11:00:00,创业路(南油段),34,47.2%
2018-09-01 10:00:00,2018-09-01 11:00:00,创业路(后海湾段),5,27.8%
2018-09-01 10:00:00,2018-09-01 11:00:00,创业路辅道,21,48.8%
2018-09-01 10:00:00,2018-09-01 11:00:00,华明路,3,100.0%
2018-09-01 10:00:00,2018-09-01 11:00:00,南头街,17,81.0%
2018-09-01 10:00:00,2018-09-01 11:00:00,南新路,8,34.8%
2018-09-01 10:00:00,2018-09-01 11:00:00,后海大道辅道(后海段),33,41.3%
2018-09-01 10:00:00,2018-09-01 11:00:00,后海大道辅道(蛇口北段),11,19.0%
2018-09-01 10:00:00,2018-09-01 11:00:00,四海路,35,63.6%
2018-09-01 10:00:00,2018-09-01 11:00:00,学府路(前海段),7,63.6%
2018-09-01 10:00:00,2018-09-01 11:00:00,工业九路,36,72.0%
2018-09-01 10:00:00,2018-09-01 11:00:00,常兴路,44,66.7%
2018-09-01 10:00:00,2018-09-01 11:00:00,招商路(蛇口西段),38,62.3%
2018-09-01 10:00:00,2018-09-01 11:00:00,文心一路,12,92.3%
2018-09-01 10:00:00,2018-09-01 11:00:00,文心三路,10,83.3%
2018-09-01 10:00:00,2018-09-01 11:00:00,文心二路,29,96.7%
2018-09-01 10:00:00,2018-09-01 11:00:00,文心五路,13,92.9%
2018-09-01 10:00:00,2018-09-01 11:00:00,文心六路,49,84.5%
2018-09-01 10:00:00,2018-09-01 11:00:00,文心四路,23,95.8%
2018-09-01 10:00:00,2018-09-01 11:00:00,海德一道,46,90.2%
2018-09-01 10:00:00,2018-09-01 11:00:00,海德一道(后海湾段),3,11.5%
2018-09-01 10:00:00,2018-09-01 11:00:00,海德三道,37,80.4%
2018-09-01 10:00:00,2018-09-01 11:00:00,海德二道,35,83.3%
2018-09-01 10:00:00,2018-09-01 11:00:00,海德二道（南油段）,24,53.3%
2018-09-01 10:00:00,2018-09-01 11:00:00,海月路(东段),11,57.9%
2018-09-01 10:00:00,2018-09-01 11:00:00,登良路,26,89.7%
2018-09-01 10:00:00,2018-09-01 11:00:00,科技南一路,6,6.5%
2018-09-01 10:00:00,2018-09-01 11:00:00,科技南十二路,9,90.0%
2018-09-01 10:00:00,2018-09-01 11:00:00,科技南十路,16,55.2%
2018-09-01 10:00:00,2018-09-01 11:00:00,科技南路,33,37.9%
2018-09-01 10:00:00,2018-09-01 11:00:00,荔园路(蛇口东段),41,75.9%
2018-09-01 10:00:00,2018-09-01 11:00:00,荔园路(蛇口西段),38,54.3%
2018-09-01 10:00:00,2018-09-01 11:00:00,金世纪路,14,73.7%
2018-09-01 10:00:00,2018-09-01 11:00:00,高新南七道,16,39.0%
2018-09-01 10:00:00,2018-09-01 11:00:00,高新南三道,12,57.1%
2018-09-01 10:00:00,2018-09-01 11:00:00,高新南九道,10,38.5%
2018-09-01 10:00:00,2018-09-01 11:00:00,高新南五道,2,11.1%
2018-09-01 10:00:00,2018-09-01 11:00:00,高新南十一道,27,45.0%
2018-09-01 10:00:00,2018-09-01 11:00:00,高新南十道,9,12.3%
2018-09-01 10:00:00,2018-09-01 11:00:00,高新南四道,18,69.2%
2018-09-01 10:00:00,2018-09-01 11:00:00,高新南环路,95,39.6%
2018-09-01 10:00:00,2018-09-01 11:00:00,龙城路,27,87.1%
2018-09-01 11:00:00,2018-09-01 12:00:00,中心路(后海湾段),28,44.4%
2018-09-01 11:00:00,2018-09-01 12:00:00,创业路(南油段),30,41.7%
2018-09-01 11:00:00,2018-09-01 12:00:00,创业路(后海湾段),5,27.8%
2018-09-01 11:00:00,2018-09-01 12:00:00,创业路辅道,25,58.1%
2018-09-01 11:00:00,2018-09-01 12:00:00,华明路,3,100.0%
2018-09-01 11:00:00,2018-09-01 12:00:00,南头街,19,90.5%
2018-09-01 11:00:00,2018-09-01 12:00:00,南新路,10,43.5%
2018-09-01 11:00:00,2018-09-01 12:00:00,后海大道辅道(后海段),44,55.0%
2018-09-01 11:00:00,2018-09-01 12:00:00,后海大道辅道(蛇口北段),7,12.1%
2018-09-01 11:00:00,2018-09-01 12:00:00,四海路,37,67.3%
2018-09-01 11:00:00,2018-09-01 12:00:00,学府路(前海段),6,54.5%
2018-09-01 11:00:00,2018-09-01 12:00:00,工业九路,38,76.0%
2018-09-01 11:00:00,2018-09-01 12:00:00,常兴路,42,63.6%
2018-09-01 11:00:00,2018-09-01 12:00:00,招商路(蛇口西段),42,68.9%
2018-09-01 11:00:00,2018-09-01 12:00:00,文心一路,12,92.3%
2018-09-01 11:00:00,2018-09-01 12:00:00,文心三路,10,83.3%
2018-09-01 11:00:00,2018-09-01 12:00:00,文心二路,30,100.0%
2018-09-01 11:00:00,2018-09-01 12:00:00,文心五路,14,100.0%
2018-09-01 11:00:00,2018-09-01 12:00:00,文心六路,52,89.7%
2018-09-01 11:00:00,2018-09-01 12:00:00,文心四路,21,87.5%
2018-09-01 11:00:00,2018-09-01 12:00:00,海德一道,47,92.2%
2018-09-01 11:00:00,2018-09-01 12:00:00,海德一道(后海湾段),3,11.5%
2018-09-01 11:00:00,2018-09-01 12:00:00,海德三道,39,84.8%
2018-09-01 11:00:00,2018-09-01 12:00:00,海德二道,35,83.3%
2018-09-01 11:00:00,2018-09-01 12:00:00,海德二道（南油段）,20,44.4%
2018-09-01 11:00:00,2018-09-01 12:00:00,海月路(东段),13,68.4%
2018-09-01 11:00:00,2018-09-01 12:00:00,登良路,26,89.7%
2018-09-01 11:00:00,2018-09-01 12:00:00,科技南一路,8,8.7%
2018-09-01 11:00:00,2018-09-01 12:00:00,科技南十二路,7,70.0%
2018-09-01 11:00:00,2018-09-01 12:00:00,科技南十路,23,79.3%
2018-09-01 11:00:00,2018-09-01 12:00:00,科技南路,38,43.7%
2018-09-01 11:00:00,2018-09-01 12:00:00,荔园路(蛇口东段),39,72.2%
2018-09-01 11:00:00,2018-09-01 12:00:00,荔园路(蛇口西段),45,64.3%
2018-09-01 11:00:00,2018-09-01 12:00:00,金世纪路,13,68.4%
2018-09-01 11:00:00,2018-09-01 12:00:00,高新南七道,21,51.2%
2018-09-01 11:00:00,2018-09-01 12:00:00,高新南三道,16,76.2%
2018-09-01 11:00:00,2018-09-01 12:00:00,高新南九道,10,38.5%
2018-09-01 11:00:00,2018-09-01 12:00:00,高新南五道,5,27.8%
2018-09-01 11:00:00,2018-09-01 12:00:00,高新南十一道,28,46.7%
2018-09-01 11:00:00,2018-09-01 12:00:00,高新南十道,13,17.8%
2018-09-01 11:00:00,2018-09-01 12:00:00,高新南四道,21,80.8%
2018-09-01 11:00:00,2018-09-01 12:00:00,高新南环路,95,39.6%
2018-09-01 11:00:00,2018-09-01 12:00:00,龙城路,30,96.8%
2018-09-01 12:00:00,2018-09-01 13:00:00,中心路(后海湾段),33,52.4%
2018-09-01 12:00:00,2018-09-01 13:00:00,创业路(南油段),18,25.0%
2018-09-01 12:00:00,2018-09-01 13:00:00,创业路(后海湾段),6,33.3%
2018-09-01 12:00:00,2018-09-01 13:00:00,创业路辅道,27,62.8%
2018-09-01 12:00:00,2018-09-01 13:00:00,华明路,3,100.0%
2018-09-01 12:00:00,2018-09-01 13:00:00,南头街,21,100.0%
