berthage,avg_parking_time
207171.0,13020
210459.0,11220
211087.0,10230
210034.0,9780
202232.0,7440
210461.0,7160
211085.0,6924
207181.0,6846
211022.0,6685
211109.0,6517
210035.0,6432
207179.0,6394
203118.0,6368
207176.0,6360
207182.0,6187
207152.0,6185
207143.0,6120
210457.0,6120
207153.0,5970
207175.0,5964
207183.0,5936
210093.0,5920
211086.0,5908
211077.0,5893
210584.0,5871
207154.0,5859
210585.0,5856
210589.0,5780
207178.0,5770
207180.0,5726
207113.0,5683
210586.0,5625
210588.0,5590
203090.0,5569
205085.0,5554
207151.0,5543
207043.0,5521
207044.0,5513
207042.0,5500
207047.0,5460
201158.0,5443
203076.0,5403
207147.0,5396
207150.0,5357
203074.0,5345
211171.0,5343
210562.0,5333
207055.0,5310
207041.0,5307
204185.0,5297
210594.0,5293
207054.0,5267
203072.0,5215
207146.0,5212
210591.0,5195
203120.0,5193
207049.0,5188
210564.0,5181
207063.0,5174
207053.0,5173
207048.0,5168
211177.0,5142
211172.0,5138
207046.0,5132
207057.0,5109
203115.0,5081
211196.0,5078
210037.0,5076
207051.0,5063
210358.0,5058
207045.0,5052
211024.0,5052
210583.0,5043
211062.0,5004
204066.0,4999
210561.0,4997
207142.0,4976
210560.0,4976
203089.0,4975
207056.0,4955
210283.0,4955
210579.0,4947
211175.0,4947
207059.0,4938
210312.0,4935
210570.0,4926
211030.0,4908
210356.0,4904
207058.0,4899
210566.0,4899
210587.0,4883
210359.0,4861
208552.0,4859
210318.0,4842
203117.0,4841
210563.0,4826
210319.0,4821
208551.0,4805
210590.0,4801
207060.0,4793
202233.0,4785
211205.0,4782
211032.0,4777
207114.0,4765
207050.0,4762
210582.0,4762
203299.0,4761
211184.0,4751
207021.0,4744
210569.0,4742
203087.0,4740
208553.0,4734
210355.0,4733
210597.0,4731
210595.0,4731
207145.0,4726
207061.0,4719
204084.0,4710
201159.0,4705
208556.0,4705
210031.0,4704
211173.0,4703
203126.0,4700
210122.0,4696
210581.0,4695
208554.0,4694
210028.0,4680
211206.0,4670
203080.0,4662
207064.0,4662
204116.0,4661
210565.0,4649
207018.0,4646
204117.0,4643
211072.0,4643
203295.0,4634
204062.0,4629
208618.0,4625
208613.0,4621
203292.0,4620
203291.0,4618
211201.0,4618
204136.0,4608
203063.0,4605
207066.0,4602
210601.0,4600
204064.0,4598
204154.0,4597
211178.0,4597
210460.0,4590
207065.0,4584
211052.0,4583
207024.0,4582
204088.0,4578
208383.0,4577
210310.0,4573
202317.0,4572
210568.0,4571
207112.0,4565
210128.0,4563
202315.0,4560
211029.0,4560
204061.0,4559
207001.0,4559
211198.0,4555
211207.0,4554
211070.0,4553
211200.0,4551
211179.0,4546
203319.0,4545
211176.0,4542
205150.0,4540
210596.0,4538
204065.0,4533
211182.0,4533
204155.0,4532
207068.0,4525
207070.0,4521
210315.0,4521
207062.0,4519
204063.0,4513
207087.0,4512
210022.0,4512
210580.0,4511
208555.0,4510
211071.0,4507
210598.0,4505
208617.0,4503
205203.0,4502
211041.0,4499
204133.0,4494
204153.0,4492
205188.0,4490
207023.0,4489
208615.0,4487
210593.0,4485
207069.0,4484
205086.0,4483
204139.0,4471
207022.0,4463
204156.0,4460
210567.0,4458
210322.0,4457
207020.0,4455
204138.0,4454
207116.0,4453
208619.0,4453
207005.0,4452
210317.0,4450
211014.0,4450
203088.0,4448
210394.0,4448
207173.0,4447
208434.0,4441
211027.0,4440
208374.0,4437
207052.0,4425
211174.0,4425
208612.0,4424
210361.0,4418
204086.0,4417
207025.0,4415
208385.0,4414
211039.0,4414
211183.0,4411
211181.0,4409
204157.0,4402
207118.0,4401
210129.0,4400
211204.0,4395
210090.0,4394
207082.0,4391
208384.0,4389
203012.0,4387
203078.0,4385
210422.0,4385
202316.0,4383
210207.0,4383
203318.0,4380
207029.0,4379
211068.0,4365
207071.0,4363
211255.0,4360
208449.0,4359
210608.0,4359
203297.0,4356
208616.0,4356
210357.0,4352
208611.0,4351
210360.0,4349
207085.0,4347
210044.0,4344
210465.0,4344
210125.0,4343
208103.0,4342
205084.0,4341
205202.0,4341
207019.0,4341
203300.0,4338
204114.0,4335
204115.0,4334
203296.0,4333
210389.0,4331
208357.0,4329
210208.0,4325
210020.0,4324
207141.0,4323
208430.0,4322
208547.0,4321
208511.0,4318
203293.0,4317
203128.0,4316
211185.0,4315
207031.0,4311
208681.0,4311
210042.0,4308
208391.0,4303
210026.0,4303
203006.0,4301
204112.0,4301
208546.0,4300
208389.0,4298
210607.0,4297
208387.0,4294
204134.0,4293
204069.0,4293
207086.0,4292
208614.0,4292
210543.0,4292
210600.0,4291
211108.0,4289
208355.0,4287
207003.0,4285
211114.0,4279
208512.0,4277
210311.0,4275
210392.0,4272
210393.0,4271
208450.0,4266
210573.0,4266
210544.0,4264
205087.0,4263
208393.0,4263
205045.0,4261
207174.0,4260
208386.0,4260
205200.0,4259
210081.0,4253
208433.0,4250
210534.0,4249
203064.0,4247
205038.0,4246
204137.0,4243
204068.0,4243
210309.0,4239
203294.0,4236
203317.0,4235
205093.0,4234
207007.0,4234
208590.0,4231
210222.0,4229
207002.0,4228
207028.0,4228
211021.0,4224
203301.0,4223
205103.0,4221
208390.0,4221
208585.0,4219
203084.0,4218
207072.0,4217
208428.0,4213
210599.0,4208
208464.0,4207
208379.0,4206
208505.0,4205
208107.0,4204
208545.0,4203
210441.0,4202
210547.0,4201
208408.0,4197
210571.0,4197
208435.0,4195
210546.0,4193
208439.0,4192
210313.0,4191
211202.0,4191
203357.0,4190
210436.0,4190
211211.0,4190
203112.0,4186
207032.0,4186
203278.0,4184
210103.0,4183
208431.0,4181
208427.0,4181
205197.0,4180
210173.0,4179
204159.0,4177
207083.0,4176
203079.0,4174
208122.0,4174
211110.0,4171
211208.0,4170
210413.0,4168
208356.0,4164
205201.0,4163
203298.0,4162
208182.0,4161
208620.0,4161
208593.0,4161
208423.0,4160
211187.0,4160
205092.0,4158
210383.0,4158
203081.0,4157
205048.0,4156
210083.0,4155
203075.0,4152
204078.0,4151
207084.0,4151
210323.0,4150
210396.0,4149
208121.0,4148
204129.0,4145
211111.0,4145
211213.0,4143
208354.0,4142
210124.0,4142
208588.0,4141
210167.0,4141
211079.0,4141
204128.0,4140
204135.0,4140
208452.0,4140
210091.0,4140
211078.0,4140
211180.0,4140
208407.0,4137
208425.0,4136
205047.0,4135
210395.0,4135
208406.0,4134
211090.0,4133
205095.0,4132
203007.0,4131
203302.0,4131
205049.0,4131
208372.0,4129
208587.0,4129
205189.0,4128
210210.0,4128
211034.0,4128
203085.0,4127
210171.0,4126
204067.0,4121
203070.0,4118
207004.0,4116
208440.0,4116
204118.0,4115
207119.0,4115
210209.0,4115
210046.0,4114
204140.0,4111
205037.0,4110
208352.0,4110
203045.0,4109
211189.0,4108
208544.0,4107
210602.0,4107
208586.0,4103
208510.0,4103
203123.0,4102
203001.0,4102
211241.0,4100
205089.0,4097
208513.0,4097
205191.0,4095
211195.0,4095
208392.0,4094
208102.0,4092
207030.0,4092
208473.0,4091
207120.0,4090
204158.0,4088
206283.0,4088
210285.0,4086
203011.0,4085
210217.0,4082
211099.0,4080
205067.0,4079
210080.0,4079
204121.0,4078
204113.0,4078
210388.0,4078
210130.0,4077
204085.0,4076
207026.0,4076
203008.0,4075
208378.0,4074
205186.0,4073
210024.0,4071
203354.0,4068
208438.0,4068
208684.0,4068
201098.0,4064
208120.0,4064
208591.0,4064
210545.0,4062
203002.0,4059
208388.0,4059
208371.0,4057
208683.0,4057
201168.0,4056
205040.0,4053
210127.0,4053
210290.0,4053
201174.0,4052
208506.0,4052
208353.0,4049
208380.0,4048
208429.0,4047
203127.0,4044
208394.0,4044
201171.0,4043
208610.0,4043
201094.0,4041
205193.0,4041
210123.0,4041
208373.0,4040
210043.0,4040
211035.0,4038
208104.0,4037
203360.0,4036
207073.0,4034
208109.0,4034
208405.0,4032
201173.0,4031
204111.0,4031
201096.0,4029
208351.0,4028
211186.0,4028
208358.0,4027
211209.0,4026
211076.0,4025
205042.0,4024
